GENESIS-Tabelle: 14343-01-03-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
04.09.2016;13058;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
04.09.2016;13059;    Landkreis Ostvorpommern;-;-;-;-;-;-;-;-;-;-
04.09.2016;13060;    Landkreis Parchim;-;-;-;-;-;-;-;-;-;-
04.09.2016;13061;    Landkreis Rügen;-;-;-;-;-;-;-;-;-;-
04.09.2016;13062;    Landkreis Uecker-Randow;-;-;-;-;-;-;-;-;-;-
04.09.2016;13071;    Landkreis Mecklenburgische Seenplatte;219620;60,0;129114;25726;37212;4891;3306;18273;28594;11112
04.09.2016;13072;    Landkreis Rostock;176551;64,1;111044;23016;36315;4623;3272;12931;22688;8199
04.09.2016;13073;    Landkreis Vorpommern-Rügen;187722;59,1;108793;24475;28510;4937;3403;13162;25219;9087
04.09.2016;13074;    Landkreis Nordwestmecklenburg;128326;60,9;76992;13084;27692;3741;2430;9416;14796;5833
04.09.2016;13075;    Landkreis Vorpommern-Greifswald;195838;61,4;117712;21983;27934;5427;3704;15128;30625;12911
04.09.2016;13076;    Landkreis Ludwigslust-Parchim;174833;63,3;108609;20002;37193;3599;3653;12936;20434;10792
04.09.2011;13;Mecklenburg-Vorpommern;1373932;51,5;681375;156969;242251;59004;18943;125528;-;78680
04.09.2011;13001;    Kreisfreie Stadt Greifswald, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2011;13002;    Kreisfreie Stadt Neubrandenburg, Stadt;-;-;-;-;-;-;-;-;-;-
04.09.2011;13003;    Kreisfreie Stadt Rostock, Hansestadt;169786;51,6;85767;13965;28980;12252;2116;18539;-;9915
04.09.2011;13004;    Kreisfreie Stadt Schwerin, Landeshauptstadt;78076;55,9;42761;7949;16687;4662;975;8104;-;4384
04.09.2011;13005;    Kreisfreie Stadt Stralsund, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2011;13006;    Kreisfreie Stadt Wismar, Hansestadt;-;-;-;-;-;-;-;-;-;-
04.09.2011;13051;    Landkreis Bad Doberan;-;-;-;-;-;-;-;-;-;-
04.09.2011;13052;    Landkreis Demmin;-;-;-;-;-;-;-;-;-;-
04.09.2011;13053;    Landkreis Güstrow;-;-;-;-;-;-;-;-;-;-
04.09.2011;13054;    Landkreis Ludwigslust;-;-;-;-;-;-;-;-;-;-
04.09.2011;13055;    Landkreis Mecklenburg-Strelitz;-;-;-;-;-;-;-;-;-;-
04.09.2011;13056;    Landkreis Müritz;-;-;-;-;-;-;-;-;-;-
04.09.2011;13057;    Landkreis Nordvorpommern;-;-;-;-;-;-;-;-;-;-
04.09.2011;13058;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
04.09.2011;13059;    Landkreis Ostvorpommern;-;-;-;-;-;-;-;-;-;-
04.09.2011;13060;    Landkreis Parchim;-;-;-;-;-;-;-;-;-;-
04.09.2011;13061;    Landkreis Rügen;-;-;-;-;-;-;-;-;-;-
04.09.2011;13062;    Landkreis Uecker-Randow;-;-;-;-;-;-;-;-;-;-
04.09.2011;13071;    Landkreis Mecklenburgische Seenplatte;230610;50,4;111136;27872;40145;7169;2989;20870;-;12091
04.09.2011;13072;    Landkreis Rostock;181029;53,0;91985;21774;34615;7483;2620;15624;-;9869
04.09.2011;13073;    Landkreis Vorpommern-Rügen;194990;47,8;89289;25335;26382;8073;2909;17211;-;9379
04.09.2011;13074;    Landkreis Nordwestmecklenburg;131348;51,7;65539;12908;27798;5553;1770;10983;-;6527
04.09.2011;13075;    Landkreis Vorpommern-Greifswald;205407;50,9;99545;25687;28490;7722;2748;18725;-;16173
04.09.2011;13076;    Landkreis Ludwigslust-Parchim;182686;54,3;95353;21479;39154;6090;2816;15472;-;10342
17.09.2006;13;Mecklenburg-Vorpommern;1415321;59,1;818061;235350;247312;27642;78440;137253;-;92064
17.09.2006;13001;    Kreisfreie Stadt Greifswald, Hansestadt;43819;57,7;24759;7504;6153;1721;2577;4402;-;2402
17.09.2006;13002;    Kreisfreie Stadt Neubrandenburg, Stadt;57078;59,3;33076;8250;9856;1157;3006;7506;-;3301
17.09.2006;13003;    Kreisfreie Stadt Rostock, Hansestadt;166170;58,9;96188;21044;30880;5522;9272;19714;-;9756
17.09.2006;13004;    Kreisfreie Stadt Schwerin, Landeshauptstadt;78620;64,1;49389;12771;16462;2119;4227;8916;-;4894
17.09.2006;13005;    Kreisfreie Stadt Stralsund, Hansestadt;49549;54,9;26712;8259;7440;963;2378;4813;-;2859
17.09.2006;13006;    Kreisfreie Stadt Wismar, Hansestadt;36607;58,5;20992;4461;8406;792;2417;3039;-;1877
17.09.2006;13051;    Landkreis Bad Doberan;99102;63,6;61831;18518;18105;2274;6984;9617;-;6333
17.09.2006;13052;    Landkreis Demmin;72012;56,5;39592;13730;9583;800;3860;6701;-;4918
17.09.2006;13053;    Landkreis Güstrow;87400;56,7;48279;13934;14942;1351;4637;7308;-;6107
17.09.2006;13054;    Landkreis Ludwigslust;105795;63,5;65566;17301;23987;1603;6182;9156;-;7337
17.09.2006;13055;    Landkreis Mecklenburg-Strelitz;69869;59,2;40388;12301;11681;1220;3648;6838;-;4700
17.09.2006;13056;    Landkreis Müritz;56609;60,0;33086;11950;9358;911;2874;4676;-;3317
17.09.2006;13057;    Landkreis Nordvorpommern;93836;56,6;51885;17848;13999;1208;4783;8442;-;5605
17.09.2006;13058;    Landkreis Nordwestmecklenburg;97941;58,6;56299;15160;19933;1900;5818;8364;-;5124
17.09.2006;13059;    Landkreis Ostvorpommern;92078;57,2;51408;16701;12236;1329;5173;8011;-;7958
17.09.2006;13060;    Landkreis Parchim;84964;62,1;51362;15304;17705;1321;4328;7299;-;5405
17.09.2006;13061;    Landkreis Rügen;59657;53,2;30923;9514;7603;876;3252;5911;-;3767
17.09.2006;13062;    Landkreis Uecker-Randow;64215;58,4;36326;10800;8983;575;3024;6540;-;6404
17.09.2006;13071;    Landkreis Mecklenburgische Seenplatte;-;-;-;-;-;-;-;-;-;-
17.09.2006;13072;    Landkreis Rostock;-;-;-;-;-;-;-;-;-;-
17.09.2006;13073;    Landkreis Vorpommern-Rügen;-;-;-;-;-;-;-;-;-;-
17.09.2006;13074;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
17.09.2006;13075;    Landkreis Vorpommern-Greifswald;-;-;-;-;-;-;-;-;-;-
17.09.2006;13076;    Landkreis Ludwigslust-Parchim;-;-;-;-;-;-;-;-;-;-
22.09.2002;13;Mecklenburg-Vorpommern;1408355;70,6;970031;304125;394118;25402;45676;159065;-;41645
22.09.2002;13001;    Kreisfreie Stadt Greifswald, Hansestadt;42827;69,4;29150;9815;10228;1223;1661;4985;-;1238
22.09.2002;13002;    Kreisfreie Stadt Neubrandenburg, Stadt;57669;72,4;41002;11152;16199;1041;2052;8969;-;1589
22.09.2002;13003;    Kreisfreie Stadt Rostock, Hansestadt;161166;71,4;113314;26891;51504;4447;4627;21605;-;4240
22.09.2002;13004;    Kreisfreie Stadt Schwerin, Landeshauptstadt;79318;72,9;56624;14843;24289;2105;2463;10545;-;2379
22.09.2002;13005;    Kreisfreie Stadt Stralsund, Hansestadt;48908;69,1;33041;11025;12315;961;1489;5596;-;1655
22.09.2002;13006;    Kreisfreie Stadt Wismar, Hansestadt;36814;71,3;25689;6061;13518;687;1082;3405;-;936
22.09.2002;13051;    Landkreis Bad Doberan;94742;74,1;68128;21228;27119;1929;3656;10973;-;3223
22.09.2002;13052;    Landkreis Demmin;73788;68,6;49067;19210;17249;694;2226;7582;-;2106
22.09.2002;13053;    Landkreis Güstrow;88617;69,5;59970;19280;24884;1320;2828;8827;-;2831
22.09.2002;13054;    Landkreis Ludwigslust;104577;72,4;74118;20522;35167;1686;3247;10381;-;3115
22.09.2002;13055;    Landkreis Mecklenburg-Strelitz;70123;71,3;48723;16163;18880;1058;2520;8067;-;2035
22.09.2002;13056;    Landkreis Müritz;56106;71,6;38904;11949;16751;1034;1973;5772;-;1425
22.09.2002;13057;    Landkreis Nordvorpommern;94627;68,9;63277;24450;22567;1192;2757;9634;-;2677
22.09.2002;13058;    Landkreis Nordwestmecklenburg;95268;69,7;65049;19516;28535;1972;3029;9270;-;2727
22.09.2002;13059;    Landkreis Ostvorpommern;91674;68,2;60969;23786;21002;1020;2915;9540;-;2706
22.09.2002;13060;    Landkreis Parchim;85971;71,8;60341;18210;25673;1519;3354;9008;-;2577
22.09.2002;13061;    Landkreis Rügen;59819;64,8;37774;13572;13146;820;1778;6501;-;1957
22.09.2002;13062;    Landkreis Uecker-Randow;66341;69,9;44891;16452;15092;694;2019;8405;-;2229
22.09.2002;13071;    Landkreis Mecklenburgische Seenplatte;-;-;-;-;-;-;-;-;-;-
22.09.2002;13072;    Landkreis Rostock;-;-;-;-;-;-;-;-;-;-
22.09.2002;13073;    Landkreis Vorpommern-Rügen;-;-;-;-;-;-;-;-;-;-
22.09.2002;13074;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
22.09.2002;13075;    Landkreis Vorpommern-Greifswald;-;-;-;-;-;-;-;-;-;-
22.09.2002;13076;    Landkreis Ludwigslust-Parchim;-;-;-;-;-;-;-;-;-;-
27.09.1998;13;Mecklenburg-Vorpommern;1404552;79,4;1084611;327948;371885;29240;17062;264299;-;74177
27.09.1998;13001;    Kreisfreie Stadt Greifswald, Hansestadt;43726;77,9;33266;11263;9486;1263;539;8299;-;2416
27.09.1998;13002;    Kreisfreie Stadt Neubrandenburg, Stadt;60082;80,9;47754;12248;15937;1398;593;14718;-;2860
27.09.1998;13003;    Kreisfreie Stadt Rostock, Hansestadt;166652;79,2;129384;28319;48799;4710;1776;39139;-;6641
27.09.1998;13004;    Kreisfreie Stadt Schwerin, Landeshauptstadt;84411;78,9;65589;15366;23423;2589;898;19821;-;3492
27.09.1998;13005;    Kreisfreie Stadt Stralsund, Hansestadt;49960;73,5;35755;11455;11364;1021;447;8014;-;3454
27.09.1998;13006;    Kreisfreie Stadt Wismar, Hansestadt;37747;78,7;29110;7578;12641;731;383;6000;-;1777
27.09.1998;13051;    Landkreis Bad Doberan;86138;81,6;68559;20674;24210;1948;1228;16558;-;3941
27.09.1998;13052;    Landkreis Demmin;75405;79,7;57214;21748;16936;977;926;12149;-;4478
27.09.1998;13053;    Landkreis Güstrow;88679;80,2;69007;20780;24630;1731;1319;15960;-;4587
27.09.1998;13054;    Landkreis Ludwigslust;100835;80,0;78494;22758;30630;1991;1211;17489;-;4415
27.09.1998;13055;    Landkreis Mecklenburg-Strelitz;68972;82,1;54861;17627;18266;1402;933;12414;-;4219
27.09.1998;13056;    Landkreis Müritz;55091;80,5;42980;12991;15853;1373;630;9366;-;2767
27.09.1998;13057;    Landkreis Nordvorpommern;93188;80,5;72546;25435;22866;1455;1011;16139;-;5640
27.09.1998;13058;    Landkreis Nordwestmecklenburg;91123;78,1;69268;20253;26542;1850;1084;15121;-;4418
27.09.1998;13059;    Landkreis Ostvorpommern;90178;79,3;69273;25983;19539;1157;1070;15250;-;6274
27.09.1998;13060;    Landkreis Parchim;84209;80,2;65634;20100;22647;1790;1297;15695;-;4105
27.09.1998;13061;    Landkreis Rügen;59925;76,5;44238;15026;12654;947;945;10607;-;4059
27.09.1998;13062;    Landkreis Uecker-Randow;68231;78,7;51679;18344;15462;907;772;11560;-;4634
27.09.1998;13071;    Landkreis Mecklenburgische Seenplatte;-;-;-;-;-;-;-;-;-;-
27.09.1998;13072;    Landkreis Rostock;-;-;-;-;-;-;-;-;-;-
27.09.1998;13073;    Landkreis Vorpommern-Rügen;-;-;-;-;-;-;-;-;-;-
27.09.1998;13074;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
27.09.1998;13075;    Landkreis Vorpommern-Greifswald;-;-;-;-;-;-;-;-;-;-
27.09.1998;13076;    Landkreis Ludwigslust-Parchim;-;-;-;-;-;-;-;-;-;-
__________
"zu ""gesamte Tabelle"":
Mecklenburg-Vorpommern (1998): Briefwahlergebnisse der
kreisfreien Stadt Stralsund teilweise im Kreis
Nordvorpommern, des Landkreises Müritz teilweise im
Landkreis Mecklenburg-Strelitz enthalten.
 
zu ""Gültige Stimmen"":
Mecklenburg-Vorpommern: Zweitstimmen
 
zu ""Gültigen Stimmen nach Parteien"":
Mecklenburg-Vorpommern: Zweitstimmen
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 27.12.2021 / 11:48:24
